date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:57	303/303	---M--	403	error ('Forbidden')	text/html	date:Wed,%2001%20Aug%202018%2008:27:45%20GMT	http://portion.io/robots.txt		(from )
13:57:59	77263/77263	---M--	200	added ('OK')	text/html	etag:%2256d94c6c33474dc2de0b03c0894ff403%22	http://portion.io/	C:/Users/admin/Desktop/symposium/portion.io/index.html	(from )
13:57:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2001%20Aug%202018%2008:27:47%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/admin/Desktop/symposium/www.googletagmanager.com/gtm.05445.delayed	(from http://portion.io/)
13:57:59	1843/1843	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Aug%202018%2008:27:48%20GMT	https://use.typekit.net/ezf8yup.css	C:/Users/admin/Desktop/symposium/use.typekit.net/ezf8yup.css	(from http://portion.io/)
13:58:00	6434/6434	---M--	200	added ('OK')	image/png	etag:%22c78314517d6f82d9c3b02065988d2619%22	http://portion.io/images/favicon.png	C:/Users/admin/Desktop/symposium/portion.io/images/favicon.png	(from http://portion.io/)
13:58:01	8129/8129	---M--	200	added ('OK')	text/css	etag:%228bab7a0f5b000db5073a965a474f5011%22	http://portion.io/css/normalize.css	C:/Users/admin/Desktop/symposium/portion.io/css/normalize.css	(from http://portion.io/)
13:58:02	1294/1294	---M--	200	added ('OK')	text/css	etag:%22f88016bd16e279841c15046c7d1ccbfd%22	http://portion.io/css/icons.css	C:/Users/admin/Desktop/symposium/portion.io/css/icons.css	(from http://portion.io/)
13:58:04	217282/217282	---M--	200	added ('OK')	text/css	etag:%2271d9712d52d158cdb27a1587b6b9aa3a%22	http://portion.io/css/style.css	C:/Users/admin/Desktop/symposium/portion.io/css/style.css	(from http://portion.io/)
13:58:06	13418/13418	---M--	200	added ('OK')	image/svg+xml	etag:%223142d50e227b7021af751e9d0f404dfb%22	http://portion.io/images/logo-gold.svg	C:/Users/admin/Desktop/symposium/portion.io/images/logo-gold.svg	(from http://portion.io/)
13:58:07	2354/2354	---M--	200	added ('OK')	image/svg+xml	etag:%221a1c26113856c5094c3efec1e18863c4%22	http://portion.io/images/ornament1-white.svg	C:/Users/admin/Desktop/symposium/portion.io/images/ornament1-white.svg	(from http://portion.io/)
13:58:07	1068/1068	---M--	200	added ('OK')	image/svg+xml	etag:%22a58a9b1a1da1513ac8f2c18848712c86%22	http://portion.io/images/logo-mark-blue.svg	C:/Users/admin/Desktop/symposium/portion.io/images/logo-mark-blue.svg	(from http://portion.io/)
13:58:08	1653/1653	---M--	200	added ('OK')	image/svg+xml	etag:%22807e55883156da4c0309aad54356ffce%22	http://portion.io/images/logo-mark-gold.svg	C:/Users/admin/Desktop/symposium/portion.io/images/logo-mark-gold.svg	(from http://portion.io/)
